VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2025-01-01 00:18:38.000000,2025-01-01 00:26:59.000000,1,1.6,1,N,229,237,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2025-01-01 00:32:40.000000,2025-01-01 00:35:13.000000,1,0.5,1,N,236,237,1,5.1,3.5,0.5,2.02,0.0,1.0,12.12,2.5,0.0
1,2025-01-01 00:44:04.000000,2025-01-01 00:46:01.000000,1,0.6,1,N,141,141,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0
2,2025-01-01 00:14:27.000000,2025-01-01 00:20:01.000000,3,0.52,1,N,244,244,2,7.2,1.0,0.5,0.0,0.0,1.0,9.7,0.0,0.0
2,2025-01-01 00:21:34.000000,2025-01-01 00:25:06.000000,3,0.66,1,N,244,116,2,5.8,1.0,0.5,0.0,0.0,1.0,8.3,0.0,0.0
2,2025-01-01 00:48:24.000000,2025-01-01 01:08:26.000000,2,2.63,1,N,239,68,2,19.1,1.0,0.5,0.0,0.0,1.0,24.1,2.5,0.0
1,2025-01-01 00:14:47.000000,2025-01-01 00:16:15.000000,0,0.4,1,N,170,170,1,4.4,3.5,0.5,2.35,0.0,1.0,11.75,2.5,0.0
1,2025-01-01 00:39:27.000000,2025-01-01 00:51:51.000000,0,1.6,1,N,234,148,1,12.1,3.5,0.5,2.0,0.0,1.0,19.1,2.5,0.0
1,2025-01-01 00:53:43.000000,2025-01-01 01:13:23.000000,0,2.8,1,N,148,170,1,19.1,3.5,0.5,3.0,0.0,1.0,27.1,2.5,0.0
2,2025-01-01 00:00:02.000000,2025-01-01 00:09:36.000000,1,1.71,1,N,237,262,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2025-01-01 00:20:28.000000,2025-01-01 00:28:04.000000,1,2.29,1,N,237,75,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2025-01-01 00:33:58.000000,2025-01-01 00:37:23.000000,1,0.56,1,N,263,236,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0
2,2025-01-01 00:42:40.000000,2025-01-01 00:55:38.000000,3,1.99,1,N,236,151,2,14.2,1.0,0.5,0.0,0.0,1.0,19.2,2.5,0.0
1,2025-01-01 00:30:07.000000,2025-01-01 00:36:48.000000,1,1.1,1,N,229,141,2,7.9,3.5,0.5,0.0,0.0,1.0,12.9,2.5,0.0
1,2025-01-01 00:39:55.000000,2025-01-01 01:13:59.000000,1,3.2,1,N,141,113,1,26.1,3.5,0.5,7.8,0.0,1.0,38.9,2.5,0.0
1,2025-01-01 00:16:54.000000,2025-01-01 00:35:12.000000,3,2.5,1,N,158,170,2,17.7,3.5,0.5,0.0,0.0,1.0,22.7,2.5,0.0
1,2025-01-01 00:43:10.000000,2025-01-01 01:00:03.000000,1,1.9,1,N,164,229,1,16.3,3.5,0.5,4.25,0.0,1.0,25.55,2.5,0.0
2,2025-01-01 00:01:41.000000,2025-01-01 00:07:14.000000,1,0.71,1,N,79,107,2,-7.2,-1.0,-0.5,3.66,0.0,-1.0,-8.54,-2.5,0.0
2,2025-01-01 00:01:41.000000,2025-01-01 00:07:14.000000,1,0.71,1,N,79,107,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
1,2025-01-01 00:33:12.000000,2025-01-01 00:50:14.000000,2,1.2,1,N,246,90,1,15.6,3.5,0.5,0.0,0.0,1.0,20.6,2.5,0.0
